"Quantity","Error","Model","Mediators","Distance","Type"
"XY",11.4074074074074,"Phi-3",6,3,"Global"
"XC",0.438095238095238,"Phi-3",2,1,"Local"
"XD",1.19166666666667,"Phi-3",3,2,"Local"
"CY",1.46376811594203,"Phi-3",3,2,"Local"
"DY",0.808219178082192,"Phi-3",2,1,"Local"
"CD",0.534338358458961,"Phi-3",0,1,"Local"
"XY",11.3703703703704,"Phi-3",6,3,"Global"
"XC",0.614285714285714,"Phi-3",2,1,"Local"
"XD",1.35,"Phi-3",3,2,"Local"
"CY",1.49275362318841,"Phi-3",3,2,"Local"
"DY",0.894977168949772,"Phi-3",2,1,"Local"
"CD",0.55108877721943,"Phi-3",0,1,"Local"
"XY",11.4074074074074,"Phi-3",6,3,"Global"
"XC",0.50952380952381,"Phi-3",2,1,"Local"
"XD",1.175,"Phi-3",3,2,"Local"
"CY",1.42753623188406,"Phi-3",3,2,"Local"
"DY",0.812785388127854,"Phi-3",2,1,"Local"
"CD",0.527638190954774,"Phi-3",0,1,"Local"
"XY",11.962962962963,"Phi-3",6,3,"Global"
"XC",0.542857142857143,"Phi-3",2,1,"Local"
"XD",1.40833333333333,"Phi-3",3,2,"Local"
"CY",1.5,"Phi-3",3,2,"Local"
"DY",0.931506849315068,"Phi-3",2,1,"Local"
"CD",0.537688442211055,"Phi-3",0,1,"Local"
"XY",11.5555555555556,"Phi-3",6,3,"Global"
"XC",0.523809523809524,"Phi-3",2,1,"Local"
"XD",1.15,"Phi-3",3,2,"Local"
"CY",1.50724637681159,"Phi-3",3,2,"Local"
"DY",0.849315068493151,"Phi-3",2,1,"Local"
"CD",0.561139028475712,"Phi-3",0,1,"Local"
"XY",11.3703703703704,"Phi-3",6,3,"Global"
"XC",0.504761904761905,"Phi-3",2,1,"Local"
"XD",1.24166666666667,"Phi-3",3,2,"Local"
"CY",1.34782608695652,"Phi-3",3,2,"Local"
"DY",0.812785388127854,"Phi-3",2,1,"Local"
"CD",0.556113902847571,"Phi-3",0,1,"Local"
"XY",10.9259259259259,"Phi-3",6,3,"Global"
"XC",0.504761904761905,"Phi-3",2,1,"Local"
"XD",1.175,"Phi-3",3,2,"Local"
"CY",1.26811594202899,"Phi-3",3,2,"Local"
"DY",0.776255707762557,"Phi-3",2,1,"Local"
"CD",0.559463986599665,"Phi-3",0,1,"Local"
"XY",11.0740740740741,"Phi-3",6,3,"Global"
"XC",0.623809523809524,"Phi-3",2,1,"Local"
"XD",1.325,"Phi-3",3,2,"Local"
"CY",1.44202898550725,"Phi-3",3,2,"Local"
"DY",0.812785388127854,"Phi-3",2,1,"Local"
"CD",0.541038525963149,"Phi-3",0,1,"Local"
"XY",11.2592592592593,"Phi-3",6,3,"Global"
"XC",0.528571428571429,"Phi-3",2,1,"Local"
"XD",1.225,"Phi-3",3,2,"Local"
"CY",1.39855072463768,"Phi-3",3,2,"Local"
"DY",0.82648401826484,"Phi-3",2,1,"Local"
"CD",0.577889447236181,"Phi-3",0,1,"Local"
"XY",10.6296296296296,"Phi-3",6,3,"Global"
"XC",0.466666666666667,"Phi-3",2,1,"Local"
"XD",1.06666666666667,"Phi-3",3,2,"Local"
"CY",1.34057971014493,"Phi-3",3,2,"Local"
"DY",0.757990867579909,"Phi-3",2,1,"Local"
"CD",0.544388609715243,"Phi-3",0,1,"Local"
"XY",10.6296296296296,"Phi-3",6,3,"Global"
"XC",0.595238095238095,"Phi-3",2,1,"Local"
"XD",1.25833333333333,"Phi-3",3,2,"Local"
"CY",1.39855072463768,"Phi-3",3,2,"Local"
"DY",0.789954337899543,"Phi-3",2,1,"Local"
"CD",0.520938023450586,"Phi-3",0,1,"Local"
"XY",11.2222222222222,"Phi-3",6,3,"Global"
"XC",0.542857142857143,"Phi-3",2,1,"Local"
"XD",1.20833333333333,"Phi-3",3,2,"Local"
"CY",1.39855072463768,"Phi-3",3,2,"Local"
"DY",0.812785388127854,"Phi-3",2,1,"Local"
"CD",0.544388609715243,"Phi-3",0,1,"Local"
"XY",11.5925925925926,"Phi-3",6,3,"Global"
"XC",0.628571428571429,"Phi-3",2,1,"Local"
"XD",1.36666666666667,"Phi-3",3,2,"Local"
"CY",1.48550724637681,"Phi-3",3,2,"Local"
"DY",0.835616438356165,"Phi-3",2,1,"Local"
"CD",0.536013400335008,"Phi-3",0,1,"Local"
"XY",11.3333333333333,"Phi-3",6,3,"Global"
"XC",0.604761904761905,"Phi-3",2,1,"Local"
"XD",1.20833333333333,"Phi-3",3,2,"Local"
"CY",1.38405797101449,"Phi-3",3,2,"Local"
"DY",0.821917808219178,"Phi-3",2,1,"Local"
"CD",0.547738693467337,"Phi-3",0,1,"Local"
"XY",11,"Phi-3",6,3,"Global"
"XC",0.514285714285714,"Phi-3",2,1,"Local"
"XD",1.16666666666667,"Phi-3",3,2,"Local"
"CY",1.41304347826087,"Phi-3",3,2,"Local"
"DY",0.785388127853881,"Phi-3",2,1,"Local"
